id_cod_pais;id_ nom_pais;año;mes;id_uni_med;id_nom_med;grande;grande no integrada;mediana;pequeña
32;Argentina;2014;Enero;t;toneladas;86.639;3.545;44.409;5.879
32;Argentina;2014;Febrero;t;toneladas;100.526;7.885;21.999;2.179
32;Argentina;2014;Marzo;t;toneladas;81.779;963;36.880;1.572
32;Argentina;2014;Abril;t;toneladas;74.163;20.169;45.902;2.236
32;Argentina;2014;Mayo;t;toneladas;144.216;22.853;57.941;4.292
32;Argentina;2014;Junio;t;toneladas;162.749;28.387;53.339;5.569
32;Argentina;2014;Julio;t;toneladas;178.544;31.875;58.220;6.428
32;Argentina;2014;Agosto;t;toneladas;179.160;34.123;58.260;6.780
32;Argentina;2014;Septiembre;t;toneladas;185.129;38.722;62.628;8.922
32;Argentina;2014;Octubre;t;toneladas;185.020;54.705;60.493;8.679
32;Argentina;2014;Noviembre;t;toneladas;153.049;23.556;59.273;7.577
32;Argentina;2014;Diciembre;t;toneladas;81.296;21.435;57.741;6.604
32;Argentina;2015;Enero;t;toneladas;50.957;17.577;60.040;5.861
32;Argentina;2015;Febrero;t;toneladas;20.852;14.419;56.874;6.921
32;Argentina;2015;Marzo;t;toneladas;15.826;13.904;60.065;6.879
32;Argentina;2015;Abril;t;toneladas;37.109;22.298;62.309;6.723
32;Argentina;2015;Mayo;t;toneladas;54.150;22.666;49.210;5.200
32;Argentina;2015;Junio;t;toneladas;110.194;12.710;62.126;5.415
32;Argentina;2015;Julio;t;toneladas;80.015;27.919;62.816;6.016
32;Argentina;2015;Agosto;t;toneladas;122.941;18.826;60.729;5.997
32;Argentina;2015;Septiembre;t;toneladas;98.747;17.454;60.238;6.432
32;Argentina;2015;Octubre;t;toneladas;105.285;26.041;61.240;7.114
32;Argentina;2015;Noviembre;t;toneladas;103.175;21.331;53.551;4.703
32;Argentina;2015;Diciembre;t;toneladas;70.390;2.012;6.859;544
32;Argentina;2016;Enero;t;toneladas;68.342;0;32.896;1.443
32;Argentina;2016;Febrero;t;toneladas;75.564;16.280;53.410;5.847
32;Argentina;2016;Marzo;t;toneladas;66.466;14.506;58.107;6.971
32;Argentina;2016;Abril;t;toneladas;109.728;15.504;59.187;6.989
32;Argentina;2016;Mayo;t;toneladas;160.188;27.848;56.577;6.922
32;Argentina;2016;Junio;t;toneladas;142.670;51.155;59.767;8.182
32;Argentina;2016;Julio;t;toneladas;146.718;38.911;54.617;8.402
32;Argentina;2016;Agosto;t;toneladas;170.991;46.077;60.241;8.077
32;Argentina;2016;Septiembre;t;toneladas;166.923;55.896;61.866;7.854
32;Argentina;2016;Octubre;t;toneladas;179.877;46.198;60.234;7.473
32;Argentina;2016;Noviembre;t;toneladas;173.533;43.417;55.632;8.325
32;Argentina;2016;Diciembre;t;toneladas;48.465;40.284;55.870;8.458
32;Argentina;2017;Enero;t;toneladas;89.034;33.443;58.473;8.812
32;Argentina;2017;Febrero;t;toneladas;75.651;16.265;62.167;8.118
32;Argentina;2017;Marzo;t;toneladas;93.983;8.798;60.802;8.638
32;Argentina;2017;Abril;t;toneladas;142.683;36.233;64.418;6.098
32;Argentina;2017;Mayo;t;toneladas;175.488;44.012;68.880;8.443
32;Argentina;2017;Junio;t;toneladas;171.986;30.860;71.481;8.388
32;Argentina;2017;Julio;t;toneladas;154.897;37.059;72.172;8.856
32;Argentina;2017;Agosto;t;toneladas;76.355;16.076;68.355;9.098
32;Argentina;2017;Septiembre;t;toneladas;121.899;11.980;70.991;9.101
32;Argentina;2017;Octubre;t;toneladas;183.292;27.520;72.861;9.422
32;Argentina;2017;Noviembre;t;toneladas;179.197;42.488;71.363;9.570
32;Argentina;2017;Diciembre;t;toneladas;146.240;40.320;70.365;8.802
32;Argentina;2018;Enero;t;toneladas;141.597;25.172;69.038;8.321
32;Argentina;2018;Febrero;t;toneladas;78.818;4.359;66.293;7.536
32;Argentina;2018;Marzo;t;toneladas;85.783;13.480;69.979;8.697
32;Argentina;2018;Abril;t;toneladas;112.072;31.807;73.773;8.773
32;Argentina;2018;Mayo;t;toneladas;166.472;46.073;69.278;8.611
32;Argentina;2018;Junio;t;toneladas;148.178;40.957;68.960;7.331
32;Argentina;2018;Julio;t;toneladas;142.064;41.682;68.784;7.521
32;Argentina;2018;Agosto;t;toneladas;37.688;23.093;67.486;6.582
